actor_ids,actor_names,actor_points
nm0001832,Sam Waterston,1450
nm0001847,Richard Widmark,1446
nm0867694,Topol,1427
nm0005148,Delroy Lindo,1426
nm0557339,Raymond Massey,1413
nm0000763,Dana Andrews,1392
nm3529685,Kumail Nanjiani,1390
nm0000011,Gary Cooper,1389
nm0273178,Fernando Fernán Gómez,1389
nm0001428,Klaus Kinski,1386
nm0001283,Louis Gossett Jr.,1370
nm0451321,Shah Rukh Khan,1370
nm0007217,Jack Carson,1365
nm0302330,John Gallagher Jr.,1365
nm0175916,Paddy Considine,1344
nm0900915,Jürgen Vogel,1332
nm0726262,Max Riemelt,1332
nm0000886,Warren Beatty,1330
nm0002994,Kevin McCarthy,1317
nm0286010,Ken Foree,1306
nm0773308,Sebastian Urzendowsky,1305
nm0529543,Jean-Pierre Léaud,1299
nm0775180,Max Schreck,1298
nm3092471,Marwan Kenzari,1287
nm0002139,Judd Hirsch,1280
nm0052023,Donatas Banionis,1237
nm0000057,David Niven,1228
nm0132257,Bruce Campbell,1222
nm0382830,Dan Hicks,1222
nm0036427,Edward Arnold,1219
nm0001434,Kris Kristofferson,1219
nm0000483,Christopher Lambert,1214
nm0430107,Michael B. Jordan,1200
nm0001719,George Segal,1175
nm0700875,Om Puri,1156
nm2110485,Manish Dayal,1156
nm4055138,Charlie Plummer,1147
nm2240346,Kodi Smit-McPhee,1143
nm0000391,Rupert Everett,1137
nm3584268,James Norton,1123
nm0412322,Burl Ives,1122
nm0722629,Matthew Rhys,1111
nm0065235,Michael Beck,1105
nm0280559,Leo Fitzpatrick,1102
nm0682399,Justin Pierce,1102
nm0921459,Oskar Werner,1093
nm1296587,Robin de Jesus,1085
nm0880484,Gaspard Ulliel,1082
nm0684500,Dominique Pinon,1081
nm0241748,Dennis Dun,1078
nm0179173,John Corbett,1075
nm0785842,Toni Servillo,1073
nm1405398,Dan Stevens,1059
nm0202970,Larry David,1054
nm0002048,Melvyn Douglas,1039
nm0000809,Daniel Auteuil,1030
nm0518821,John Lone,1027
nm1676649,Nate Parker,1026
nm1091701,Denzel Whitaker,1026
nm0133899,Guillaume Canet,1011
nm0002131,Laurence Harvey,984
nm0748620,Paul Rudd,979
nm1064292,Craig Roberts,979
nm0000901,Jean-Paul Belmondo,975
nm0001322,Rex Harrison,975
nm0000469,James Earl Jones,974
nm0000188,Steve Martin,972
nm0308039,Louis Garrel,967
