actress_ids,actress_names,actress_points
nm0751426,Rosalind Russell,688
nm1377449,Agnieszka Grochowska,685
nm0324790,Joanna Going,682
nm0268626,Nadia Farès,680
nm0761212,Dominique Sanda,680
nm0004763,Mary J. Blige,676
nm1087430,Julia Dietze,671
nm0001546,Mary Tyler Moore,668
nm0144377,Laetitia Casta,665
nm1246047,Adriana Ugarte,658
nm0000991,Geneviève Bujold,646
nm2017943,Hayley Atwell,645
nm0516994,Margaret Lockwood,640
nm1402546,Sibel Kekilli,635
nm0001594,Anne Parillaud,629
nm0000039,Deborah Kerr,628
nm0000429,Melanie Griffith,628
nm0000726,Maud Adams,627
nm0387753,Valerie Hobson,621
nm0046424,Veerle Baetens,616
nm0968541,Oksana Akinshina,613
nm0140914,Madeleine Carroll,612
nm2665105,Grace Van Patten,612
nm0555500,Elizabeth Marvel,612
nm0858048,Mélanie Thierry,607
nm0001689,Mercedes Ruehl,604
nm0001010,Capucine,603
nm0587234,Sarah Miles,601
nm1754366,Tika Sumpter,601
nm4663937,Laia Costa,600
nm0350451,Linda Zilliacus,595
nm0947514,Jung-ah Yum,589
nm1909661,Nimrat Kaur,588
nm0002148,Mary Beth Hurt,587
nm0364915,Julie Harris,585
nm0886888,Jo Van Fleet,585
nm0000074,Gene Tierney,584
nm0324409,Bárbara Goenaga,584
nm0474492,Agata Kulesza,571
nm2251846,Joanna Kulig,571
nm1095720,Keisha Castle-Hughes,571
nm0001655,Lynn Redgrave,570
nm0872456,Claire Trevor,568
nm0656180,Geneviève Page,564
nm1748545,Agnes Kittelsen,563
nm0424848,Dakota Johnson,557
nm0448224,Merna Kennedy,556
nm0000047,Sophia Loren,552
nm0773932,Maria Schneider,552
nm0888824,Alexandra Vandernoot,546
nm0296594,Catherine Frot,546
nm0001575,Tatum O'Neal,544
nm3948952,Vanessa Kirby,543
nm0526724,Cherie Lunghi,538
nm2050746,Emma Catherine Rigby,536
nm1197689,Sandra Hüller,533
nm0603402,Jeanne Moreau,532
nm0944073,Dana Wynter,532
nm0879947,Misa Uehara,532
nm3335498,Sigrid Bouaziz,531
nm1768149,Nora Waldstätten,531
nm0731499,Rachel Roberts,523
nm8023748,Helena Zengel,518
nm0943837,Jane Wyman,517
nm0000058,Maureen O'Hara,515
nm1211488,Lynn Collins,513
nm0733196,Zuleikha Robinson,513
nm0000214,Mia Sara,512
nm0424743,Celia Johnson,510
nm0002105,Judith Godrèche,510
nm3918035,Zendaya,509
nm0726257,Katja Riemann,507
nm0461746,Sidse Babett Knudsen,507
nm0937557,Johanna Wokalek,502
nm0880167,Nadja Uhl,502
nm0637649,Magali Noël,501
